"year","week","duration"
"2013","2013 - Week 43",18.4833333333333
"2013","2013 - Week 44",29.1333333333333
"2013","2013 - Week 45",51.0833333333333
"2013","2013 - Week 46",32.6666666666667
"2013","2013 - Week 47",30.25
"2013","2013 - Week 48",40.5166666666667
"2013","2013 - Week 49",32.4666666666667
"2013","2013 - Week 50",17.95
"2013","2013 - Week 51",7.21666666666667
"2014","2014 - Week 00",23.3166666666667
"2014","2014 - Week 01",22.0833333333333
"2014","2014 - Week 02",33.2333333333333
"2014","2014 - Week 03",24.65
"2014","2014 - Week 04",30.45
"2014","2014 - Week 05",46.5166666666667
"2014","2014 - Week 06",42.0833333333333
"2014","2014 - Week 07",21.3
"2014","2014 - Week 08",42.1
"2014","2014 - Week 09",43.9833333333333
"2014","2014 - Week 10",22.9
"2014","2014 - Week 11",20.65
"2014","2014 - Week 12",11.4666666666667
"2014","2014 - Week 13",31.4166666666667
"2014","2014 - Week 14",23.4666666666667
"2014","2014 - Week 15",35.6833333333333
"2014","2014 - Week 16",8.23333333333333
"2014","2014 - Week 17",23.6333333333333
"2014","2014 - Week 18",39.1166666666667
"2014","2014 - Week 19",39.0833333333333
"2014","2014 - Week 20",30.2
"2014","2014 - Week 21",29.5666666666667
"2014","2014 - Week 22",15.1333333333333
"2014","2014 - Week 23",17.5
"2014","2014 - Week 24",17.5333333333333
"2014","2014 - Week 25",25.9666666666667
"2014","2014 - Week 26",40.9
"2014","2014 - Week 27",45.45
"2014","2014 - Week 28",28.8666666666667
"2014","2014 - Week 29",33.7333333333333
"2014","2014 - Week 30",40.4333333333333
"2014","2014 - Week 31",41.7666666666667
"2014","2014 - Week 32",37.2333333333333
"2014","2014 - Week 33",38.85
"2014","2014 - Week 34",26.3
"2014","2014 - Week 35",42.45
"2014","2014 - Week 36",38.95
"2014","2014 - Week 37",27.0333333333333
"2014","2014 - Week 38",14.35
"2014","2014 - Week 39",22.9
"2014","2014 - Week 40",25.2
"2014","2014 - Week 41",22.6666666666667
"2014","2014 - Week 42",18.1333333333333
"2014","2014 - Week 43",33
"2014","2014 - Week 44",26.2666666666667
"2014","2014 - Week 45",18.8166666666667
"2014","2014 - Week 46",21.8333333333333
"2014","2014 - Week 47",17.9833333333333
"2014","2014 - Week 48",26.0833333333333
"2014","2014 - Week 49",18.05
"2014","2014 - Week 50",21.3333333333333
"2014","2014 - Week 51",9.05
"2015","2015 - Week 00",11.25
"2015","2015 - Week 01",13.3333333333333
"2015","2015 - Week 02",25.1333333333333
"2015","2015 - Week 03",17.55
"2015","2015 - Week 04",31.35
"2015","2015 - Week 05",23.8
"2015","2015 - Week 06",25.0166666666667
"2015","2015 - Week 07",19.0166666666667
"2015","2015 - Week 08",17.4333333333333
"2015","2015 - Week 09",26.9
"2015","2015 - Week 10",27.3333333333333
"2015","2015 - Week 11",40.8166666666667
"2015","2015 - Week 12",34.2666666666667
"2015","2015 - Week 13",26.0166666666667
"2015","2015 - Week 14",29.15
"2015","2015 - Week 15",25.15
"2015","2015 - Week 16",35
"2015","2015 - Week 17",32.8833333333333
"2015","2015 - Week 18",22.2833333333333
"2015","2015 - Week 19",20.7
"2015","2015 - Week 20",22.35
"2015","2015 - Week 21",22.4333333333333
"2015","2015 - Week 22",19.8333333333333
"2015","2015 - Week 23",24.7166666666667
"2015","2015 - Week 24",21.8666666666667
"2015","2015 - Week 25",36.2666666666667
"2015","2015 - Week 26",36.5166666666667
"2015","2015 - Week 27",33.2833333333333
"2015","2015 - Week 28",32.0666666666667
"2015","2015 - Week 29",26.4666666666667
"2015","2015 - Week 30",26.3
"2015","2015 - Week 31",32.75
"2015","2015 - Week 32",30.25
"2015","2015 - Week 33",29.65
"2015","2015 - Week 34",20.0333333333333
"2015","2015 - Week 35",14.25
"2015","2015 - Week 36",1.28333333333333
"2015","2015 - Week 37",1.8
"2015","2015 - Week 39",11.55
"2015","2015 - Week 40",38.1833333333333
"2015","2015 - Week 41",24.9166666666667
"2015","2015 - Week 42",33.6833333333333
"2015","2015 - Week 43",33.55
"2015","2015 - Week 44",26.1166666666667
"2015","2015 - Week 45",27.3
"2015","2015 - Week 46",29.6
"2015","2015 - Week 47",34.25
"2015","2015 - Week 48",28.2333333333333
"2015","2015 - Week 49",26.3166666666667
"2015","2015 - Week 50",24.9166666666667
"2015","2015 - Week 51",14.4833333333333
"2016","2016 - Week 00",6.71666666666667
"2016","2016 - Week 01",23.3166666666667
"2016","2016 - Week 02",39.15
"2016","2016 - Week 03",27.35
"2016","2016 - Week 04",35.9666666666667
"2016","2016 - Week 05",33.5
"2016","2016 - Week 06",41.9333333333333
"2016","2016 - Week 07",34.7166666666667
"2016","2016 - Week 08",37.25
"2016","2016 - Week 09",30.95
"2016","2016 - Week 10",30.9166666666667
"2016","2016 - Week 11",33.7666666666667
"2016","2016 - Week 12",28.8
"2016","2016 - Week 13",6.01666666666667
"2016","2016 - Week 14",41.6833333333333
"2016","2016 - Week 15",49.4333333333333
"2016","2016 - Week 16",41.7833333333333
"2016","2016 - Week 17",46.05
"2016","2016 - Week 18",35.8333333333333
"2016","2016 - Week 19",41.6666666666667
"2016","2016 - Week 20",17.5166666666667
"2016","2016 - Week 21",39.3166666666667
"2016","2016 - Week 22",36.0333333333333
"2016","2016 - Week 23",41.3333333333333
"2016","2016 - Week 24",36.3
"2016","2016 - Week 25",35.9333333333333
